,1. open,2. high,3. low,4. close,5. volume
2023-09-26 10:25:00,425.682,426.204,425.555,426.199,1309142.0
2023-09-26 10:30:00,426.2,427.349,425.868,425.95,1247931.0
2023-09-26 10:35:00,425.931,426.204,425.814,426.129,624202.0
2023-09-26 10:40:00,426.13,426.707,426.063,426.667,1068301.0
2023-09-26 10:45:00,426.663,426.981,426.172,426.19,1323423.0
2023-09-26 10:50:00,426.199,426.274,425.893,426.02,892621.0
2023-09-26 10:55:00,426.02,426.334,425.894,426.294,873683.0
2023-09-26 11:00:00,426.279,426.513,426.172,426.29,783276.0
2023-09-26 11:05:00,426.299,426.314,425.654,425.897,920077.0
2023-09-26 11:10:00,425.901,425.915,425.624,425.721,640729.0
2023-09-26 11:15:00,425.722,425.834,425.545,425.701,677781.0
2023-09-26 11:20:00,425.712,425.766,425.425,425.477,483458.0
2023-09-26 11:25:00,425.473,425.532,425.027,425.054,857198.0
2023-09-26 11:30:00,425.054,425.477,424.897,425.462,1301681.0
2023-09-26 11:35:00,425.458,425.676,425.276,425.547,981141.0
2023-09-26 11:40:00,425.542,425.706,425.196,425.412,1115438.0
2023-09-26 11:45:00,425.412,425.606,425.116,425.382,776877.0
2023-09-26 11:50:00,425.384,425.557,425.176,425.223,578827.0
2023-09-26 11:55:00,425.224,425.467,425.106,425.372,569300.0
2023-09-26 12:00:00,425.383,425.588,425.196,425.233,619679.0
2023-09-26 12:05:00,425.234,425.766,425.136,425.731,703887.0
2023-09-26 12:10:00,425.742,425.975,425.645,425.761,577387.0
2023-09-26 12:15:00,425.752,425.995,425.515,425.601,531457.0
2023-09-26 12:20:00,425.592,426.045,425.495,426.03,618109.0
2023-09-26 12:25:00,426.03,426.035,425.754,425.91,733160.0
2023-09-26 12:30:00,425.891,426.004,425.694,425.831,590523.0
2023-09-26 12:35:00,425.836,426.065,425.814,425.96,422107.0
2023-09-26 12:40:00,425.971,426.154,425.804,425.89,506687.0
2023-09-26 12:45:00,425.881,426.035,425.789,426.011,457351.0
2023-09-26 12:50:00,426.01,426.239,425.943,426.09,365395.0
2023-09-26 12:55:00,426.09,426.124,425.824,425.831,417072.0
2023-09-26 13:00:00,425.841,426.154,425.604,425.97,742281.0
2023-09-26 13:05:00,425.971,426.154,425.326,426.119,862580.0
2023-09-26 13:10:00,426.125,426.254,426.033,426.119,443902.0
2023-09-26 13:15:00,426.11,426.244,425.674,425.721,499082.0
2023-09-26 13:20:00,425.722,425.826,425.634,425.651,549690.0
2023-09-26 13:25:00,425.652,425.746,425.236,425.253,609824.0
2023-09-26 13:30:00,425.244,425.477,425.166,425.183,595499.0
2023-09-26 13:35:00,425.184,425.208,424.499,424.576,1231352.0
2023-09-26 13:40:00,424.576,424.65,424.305,424.411,817529.0
2023-09-26 13:45:00,424.416,424.561,424.28,424.337,745501.0
2023-09-26 13:50:00,424.337,424.959,424.32,424.785,979434.0
2023-09-26 13:55:00,424.775,425.059,424.683,424.984,824376.0
2023-09-26 14:00:00,425.005,425.019,424.589,424.705,877677.0
2023-09-26 14:05:00,424.696,424.86,424.509,424.526,537464.0
2023-09-26 14:10:00,424.536,424.72,424.18,424.396,1575799.0
2023-09-26 14:15:00,424.387,424.532,424.071,424.137,862151.0
2023-09-26 14:20:00,424.138,424.66,424.101,424.497,841261.0
2023-09-26 14:25:00,424.497,424.529,424.091,424.182,429495.0
2023-09-26 14:30:00,424.178,424.461,424.021,424.237,674236.0
2023-09-26 14:35:00,424.239,424.287,423.911,423.975,639767.0
2023-09-26 14:40:00,423.979,424.919,423.852,423.918,675220.0
2023-09-26 14:45:00,423.909,424.7,423.802,423.958,731834.0
2023-09-26 14:50:00,423.969,424.67,423.742,423.839,844857.0
2023-09-26 14:55:00,423.831,424.113,423.772,424.098,794596.0
2023-09-26 15:00:00,424.093,424.242,423.792,423.879,883176.0
2023-09-26 15:05:00,423.889,424.322,423.832,424.265,939543.0
2023-09-26 15:10:00,424.258,424.312,423.941,423.978,1171604.0
2023-09-26 15:15:00,423.979,424.06,423.523,423.59,1478170.0
2023-09-26 15:20:00,423.59,423.744,423.443,423.485,889522.0
2023-09-26 15:25:00,423.486,423.694,423.294,423.52,1138085.0
2023-09-26 15:30:00,423.521,423.764,423.393,423.42,1775903.0
2023-09-26 15:35:00,423.421,423.764,423.354,423.729,1090851.0
2023-09-26 15:40:00,423.73,424.202,423.677,424.157,2333751.0
2023-09-26 15:45:00,424.158,424.192,423.722,423.749,1948779.0
2023-09-26 15:50:00,423.74,424.247,423.493,424.028,3030183.0
2023-09-26 15:55:00,424.028,424.322,423.991,424.108,7224354.0
2023-09-27 09:30:00,425.363,425.945,425.216,425.497,1750372.0
2023-09-27 09:35:00,425.493,425.726,425.027,425.148,1005456.0
2023-09-27 09:40:00,425.154,425.676,424.907,425.651,895738.0
2023-09-27 09:45:00,425.642,425.92,425.106,425.193,845976.0
2023-09-27 09:50:00,425.224,425.592,425.097,425.462,606080.0
2023-09-27 09:55:00,425.473,425.508,425.047,425.153,709784.0
2023-09-27 10:00:00,425.179,425.396,424.589,424.734,1011554.0
2023-09-27 10:05:00,424.726,424.78,424.429,424.576,928336.0
2023-09-27 10:10:00,424.566,424.63,424.13,424.187,939247.0
2023-09-27 10:15:00,424.188,424.391,424.121,424.337,868199.0
2023-09-27 10:20:00,424.347,425.278,424.34,425.084,1845558.0
2023-09-27 10:25:00,425.084,425.308,424.887,425.104,981076.0
2023-09-27 10:30:00,425.094,425.158,424.618,425.123,1110680.0
2023-09-27 10:35:00,425.124,425.208,424.788,424.835,673263.0
2023-09-27 10:40:00,424.845,424.85,424.519,424.586,652918.0
2023-09-27 10:45:00,424.596,424.78,424.31,424.735,713975.0
2023-09-27 10:50:00,424.728,424.732,423.483,423.62,1443123.0
2023-09-27 10:55:00,423.625,423.754,423.284,423.44,1535833.0
2023-09-27 11:00:00,423.451,423.942,423.319,423.799,989077.0
2023-09-27 11:05:00,423.799,424.297,423.583,424.257,868827.0
2023-09-27 11:10:00,424.258,424.342,423.961,424.197,867233.0
2023-09-27 11:15:00,424.188,424.222,423.792,423.879,1579752.0
2023-09-27 11:20:00,423.879,424.252,423.722,423.918,882982.0
2023-09-27 11:25:00,423.919,424.332,423.852,424.237,692534.0
2023-09-27 11:30:00,424.248,424.381,424.041,424.327,704005.0
2023-09-27 11:35:00,424.327,424.401,423.782,423.808,883858.0
